ZIP,Cases
56111,29
56113,18
56114,42
56115,136
56116,69
56117,60
56118,36
56119,125
56120,101
56121,55
56122,101
56123,41
56125,<=5
56127,20
56128,273
56129,96
56131,341
56132,27
56134,41
56136,81
56137,112
56138,138
56139,38
56140,<=5
56141,17
56142,95
56143,438
56144,104
56145,65
56146,0
56147,26
56149,126
56150,264
56151,75
56152,153
56153,31
56155,58
56156,742
56157,79
56158,53
56159,336
56160,11
56161,44
56162,24
56164,620
56165,50
56166,24
56167,68
56168,95
56169,81
56170,37
56171,147
56172,331
56173,38
56174,36
56175,295
56176,101
56177,0
56178,175
56180,129
56181,102
56183,136
56185,63
56186,37
56187,2958
56201,3630
56207,15
56208,160
56209,255
56210,<=5
56211,50
56212,39
56214,53
56215,474
56216,75
56218,43
56219,67
56220,322
56221,80
56222,231
56223,110
56224,20
56225,83
56226,14
56227,9
56228,70
56229,166
56230,74
56231,24
56232,290
56235,31
56236,33
56237,44
56239,92
56240,81
56241,360
56243,128
56244,113
56245,43
56248,57
56249,20
56251,140
56252,146
56253,84
56255,38
56256,252
56257,25
56258,1971
56260,86
56262,66
56263,59
56264,304
56265,944
56266,116
56267,525
56270,105
56271,97
56273,572
56274,12
56276,18
56277,293
56278,278
56279,154
56280,47
56281,89
56282,168
56283,631
56284,219
56285,102
56287,8
56288,453
56289,77
56291,38
56292,49
56293,112
56294,8
56295,26
56296,188
56297,74
56301,3778
56302,45
56303,2858
56304,2424
56307,680
56308,2730
56309,141
56310,589
56311,42
56312,247
56313,<=5
56314,130
56315,137
56316,123
56317,7
56318,138
56319,115
56320,1105
56321,167
56323,32
56324,80
56325,17
56326,174
56327,49
56328,15
56329,864
56330,165
56331,205
56332,126
56333,16
56334,457
56335,23
56336,171
56338,140
56339,81
56340,266
56341,<=5
56342,190
56343,65
56344,7
56345,1381
56347,932
56349,59
56350,19
56352,795
56353,752
56354,138
56355,52
56356,47
56357,85
56358,226
56359,210
56360,426
56361,242
56362,727
56363,21
56364,617
56367,779
56368,510
56369,116
56371,14
56372,0
56373,355
56374,1167
56375,104
56376,49
56377,2506
56378,904
56379,2073
56381,172
56382,141
56384,50
56385,50
56386,49
56387,1018
56388,0
56389,10
56393,0
56395,0
56396,0
56397,<=5
56398,<=5
56399,0
56401,2371
56425,801
56430,<=5
56431,740
56433,138
56434,19
56435,166
56436,<=5
56437,69
56438,288
56440,158
56441,208
56442,230
56443,99
56444,185
56446,133
56447,74
56448,32
56449,139
56450,75
56452,119
56453,36
56455,102
56456,<=5
56458,23
56459,<=5
56461,236
56464,439
56465,176
56466,276
56467,156
56468,347
56469,75
56470,906
56472,662
56473,305
56474,323
56475,115
56477,214
56478,0
56479,528
56481,169
56482,467
56484,328
56501,1674
56502,37
56510,167
56511,178
56514,371
56515,263
56516,32
56517,18
56518,33
56519,27
56520,488
56521,70
56522,56
56523,54
56524,41
56525,18
56527,68
56528,103
56529,563
56531,153
56533,33
56534,63
56535,102
56536,49
56537,1557
56538,12
56540,196
56541,<=5
56542,224
56543,27
56544,480
56545,71
56546,24
56547,258
56548,44
56549,468
56550,26
56551,155
56552,42
56553,17
56554,233
56556,122
56557,226
56560,4823
56561,8
56562,32
56563,28
56565,10
56566,37
56567,219
56568,<=5
56569,121
56570,102
56571,138
56572,696
56573,589
56574,34
56575,37
56576,63
56577,0
56578,67
56579,66
56580,96
56581,18
56583,19
56584,91
56585,113
56586,147
56587,113
56588,35
56589,165
56590,15
56591,23
56592,36
56593,0
56594,40
56601,2505
56619,44
56621,424
56623,179
56626,27
56627,<=5
56628,66
56629,<=5
56630,178
56631,0
56633,356
56634,120
56636,392
56637,14
56639,12
56641,34
56644,57
56646,27
56647,44
56649,472
56650,45
56651,54
56652,29
56653,64
56654,7
56655,87
56657,12
56658,0
56659,<=5
56660,18
56661,51
56662,27
56663,25
56666,66
56667,25
56668,12
56669,23
56670,120
56671,213
56672,140
56673,70
56676,101
56678,97
56679,<=5
56680,7
56681,42
56682,0
56683,40
56684,42
56685,10
56686,30
56687,0
56688,<=5
56701,1191
56710,51
56711,<=5
56713,92
56714,168
56715,8
56716,1035
56720,0
56721,1293
56722,53
56723,117
56724,10
56725,85
56726,219
56727,73
56728,161
56729,8
56731,<=5
56732,115
56733,26
56734,16
56735,78
56736,73
56737,67
56738,100
56740,<=5
56741,<=5
56742,78
56744,55
56748,50
56750,240
56751,725
56754,39
56755,<=5
56756,72
56757,80
56758,34
56759,47
56760,15
56761,28
56762,249
56763,487
